[[[239.0, 151.0]], [[310.0, 121.0]]]
[[[238.8919219970703, 150.7849884033203]], [[310.6619567871094, 120.94988250732422]]]
[[[238.68687438964844, 150.3984832763672]], [[310.4333801269531, 120.48928833007812]]]
[[[238.6626434326172, 150.40451049804688]], [[310.43316650390625, 120.4889907836914]]]
[[[238.54129028320312, 149.6849822998047]], [[311.0184326171875, 121.9564208984375]]]
[[[238.72853088378906, 149.26174926757812]], [[311.6488952636719, 122.07756805419922]]]
[[[238.72853088378906, 149.26174926757812]], [[311.6498107910156, 122.07661437988281]]]
[[[238.43893432617188, 148.65914916992188]], [[310.7915344238281, 124.01763916015625]]]
[[[238.6461181640625, 149.4422607421875]], [[311.6491394042969, 123.34270477294922]]]
[[[238.56796264648438, 149.45907592773438]], [[311.6491394042969, 123.3429183959961]]]
[[[238.651611328125, 150.63641357421875]], [[311.7453918457031, 123.43533325195312]]]
[[[239.32958984375, 151.04490661621094]], [[312.0184326171875, 124.24833679199219]]]
[[[239.3291473388672, 151.0449676513672]], [[312.02874755859375, 124.26070404052734]]]
[[[239.7193145751953, 151.53335571289062]], [[312.7126770019531, 124.47435760498047]]]
[[[240.15086364746094, 152.9091796875]], [[310.8719482421875, 125.99948120117188]]]
[[[240.0734405517578, 152.893310546875]], [[310.8763122558594, 126.0154037475586]]]
[[[239.87939453125, 153.1873321533203]], [[310.9888610839844, 126.62396240234375]]]
[[[239.94912719726562, 152.90049743652344]], [[312.4944763183594, 127.09318542480469]]]
[[[239.87957763671875, 152.9016876220703]], [[312.49871826171875, 127.10736846923828]]]
[[[238.41107177734375, 151.94593811035156]], [[312.79962158203125, 127.64718627929688]]]
[[[238.84127807617188, 152.4927520751953]], [[315.2654724121094, 127.87958526611328]]]
[[[238.68360900878906, 152.45741271972656]], [[315.271240234375, 127.8837890625]]]
[[[239.33338928222656, 152.47662353515625]], [[314.9791259765625, 129.01324462890625]]]
[[[238.35333251953125, 150.69407653808594]], [[316.5292053222656, 129.180419921875]]]
[[[238.34750366210938, 150.68870544433594]], [[316.54986572265625, 129.1917724609375]]]
[[[237.14097595214844, 148.9423370361328]], [[318.05633544921875, 129.45046997070312]]]
[[[235.6707305908203, 148.92510986328125]], [[318.1085510253906, 129.64039611816406]]]
[[[235.6805419921875, 148.923583984375]], [[318.11285400390625, 129.6537628173828]]]
[[[234.94012451171875, 148.93179321289062]], [[319.0516052246094, 128.32492065429688]]]
[[[234.75155639648438, 149.88392639160156]], [[320.25640869140625, 125.95724487304688]]]
[[[234.7306365966797, 149.89593505859375]], [[320.2604064941406, 125.96146392822266]]]
[[[233.47360229492188, 149.8710479736328]], [[320.8018493652344, 125.04702758789062]]]
[[[232.72833251953125, 150.0052947998047]], [[320.4376220703125, 125.31172943115234]]]
