[[[300.0, 303.0]], [[368.0, 285.0]]]
[[[265.62774658203125, 296.4102783203125]], [[320.5284729003906, 301.5797424316406]]]
[[[266.3504333496094, 296.455810546875]], [[320.3795166015625, 301.46636962890625]]]
[[[265.7569580078125, 296.4415283203125]], [[319.4022216796875, 301.9035339355469]]]
[[[265.89910888671875, 296.7025146484375]], [[317.1445617675781, 301.78778076171875]]]
[[[265.7954406738281, 296.4781188964844]], [[316.1012878417969, 301.6256408691406]]]
[[[266.53326416015625, 297.8690490722656]], [[314.34149169921875, 301.8846435546875]]]
[[[266.03839111328125, 297.5017395019531]], [[314.0404968261719, 301.45916748046875]]]
[[[265.9640197753906, 297.1683044433594]], [[313.91033935546875, 301.3642578125]]]
[[[265.854736328125, 297.3208312988281]], [[314.3742980957031, 300.7731628417969]]]
[[[265.73016357421875, 297.0992126464844]], [[316.2613525390625, 298.223388671875]]]
[[[265.36810302734375, 297.6044006347656]], [[317.2087707519531, 297.317138671875]]]
[[[265.6290588378906, 297.8854675292969]], [[318.2186279296875, 297.3155517578125]]]
[[[264.7248229980469, 298.2629089355469]], [[320.86346435546875, 296.2513732910156]]]
[[[265.0417785644531, 298.18048095703125]], [[321.1222839355469, 296.2774658203125]]]
[[[263.94671630859375, 298.4883117675781]], [[323.64361572265625, 295.5596618652344]]]
[[[263.5174255371094, 298.7587585449219]], [[326.17578125, 294.84747314453125]]]
[[[263.926513671875, 298.6514587402344]], [[326.7544860839844, 294.317138671875]]]
[[[263.3072814941406, 298.75762939453125]], [[329.3437194824219, 294.3307189941406]]]
[[[262.76708984375, 299.6035461425781]], [[330.8572082519531, 293.96307373046875]]]
[[[262.6559753417969, 299.55560302734375]], [[331.6119689941406, 293.5123291015625]]]
[[[262.394775390625, 300.5116882324219]], [[332.9186706542969, 291.4651794433594]]]
[[[262.06719970703125, 300.47943115234375]], [[333.54315185546875, 291.2442932128906]]]
[[[262.4186706542969, 301.941162109375]], [[334.48248291015625, 291.59246826171875]]]
[[[262.68408203125, 302.5294189453125]], [[335.0790100097656, 291.49224853515625]]]
[[[262.69476318359375, 302.7358703613281]], [[335.17742919921875, 291.5423583984375]]]
[[[263.32025146484375, 304.172607421875]], [[336.60797119140625, 289.7410888671875]]]
[[[263.287109375, 304.1736145019531]], [[337.4295959472656, 289.57562255859375]]]
[[[263.5390319824219, 304.4779052734375]], [[337.7026062011719, 289.3241271972656]]]
[[[264.003662109375, 304.6225280761719]], [[338.64678955078125, 288.3818054199219]]]
[[[264.4566650390625, 304.14105224609375]], [[340.3320617675781, 287.08966064453125]]]
[[[264.6411437988281, 304.1937561035156]], [[340.6080017089844, 286.3374938964844]]]
[[[264.778076171875, 304.3768310546875]], [[341.9335632324219, 285.39892578125]]]
[[[265.6107482910156, 304.35198974609375]], [[341.9276428222656, 285.2639465332031]]]
[[[265.297607421875, 304.2098388671875]], [[341.231689453125, 285.068603515625]]]
[[[266.142333984375, 304.4790954589844]], [[340.0550537109375, 286.51202392578125]]]
[[[266.3624572753906, 304.56927490234375]], [[339.7247009277344, 286.7103271484375]]]
[[[267.5326232910156, 304.8339538574219]], [[341.2843017578125, 285.4784240722656]]]
[[[268.7158203125, 304.8796691894531]], [[342.7931823730469, 284.40087890625]]]
[[[268.9842834472656, 305.7124328613281]], [[344.9245300292969, 283.2014465332031]]]
[[[270.14013671875, 304.9556884765625]], [[345.6229248046875, 282.4847412109375]]]
[[[269.9570617675781, 304.8682556152344]], [[346.5510559082031, 282.14093017578125]]]
[[[269.78082275390625, 305.21136474609375]], [[348.5386047363281, 283.1363525390625]]]
[[[269.3340148925781, 304.5740051269531]], [[349.1570129394531, 283.4682922363281]]]
[[[270.2022705078125, 304.9731750488281]], [[351.5653991699219, 282.33489990234375]]]
[[[269.7232666015625, 304.1354675292969]], [[354.1435852050781, 282.09375]]]
[[[268.6607971191406, 303.45501708984375]], [[356.60089111328125, 282.2886962890625]]]
[[[268.108154296875, 303.05731201171875]], [[359.06097412109375, 283.3235778808594]]]
[[[266.5678405761719, 299.2012023925781]], [[362.380615234375, 286.9919128417969]]]
