[[[242.0, 238.0]], [[385.0, 189.0]]]
[[[260.42022705078125, 241.10911560058594]], [[366.9852600097656, 183.65940856933594]]]
[[[260.19061279296875, 240.44064331054688]], [[368.3829345703125, 180.4563751220703]]]
[[[260.21478271484375, 240.47021484375]], [[368.3982238769531, 180.46939086914062]]]
[[[260.8351135253906, 242.41758728027344]], [[367.5604553222656, 179.4742889404297]]]
[[[261.3143005371094, 243.58409118652344]], [[366.781982421875, 184.87387084960938]]]
[[[261.18743896484375, 243.55833435058594]], [[366.7266540527344, 184.87120056152344]]]
[[[261.4915771484375, 243.0782928466797]], [[368.28704833984375, 183.3740692138672]]]
[[[261.113525390625, 243.18373107910156]], [[367.8097229003906, 185.35302734375]]]
[[[261.11102294921875, 243.18984985351562]], [[367.7992858886719, 185.348876953125]]]
[[[261.220703125, 242.84010314941406]], [[365.46533203125, 188.13905334472656]]]
[[[261.24676513671875, 244.83399963378906]], [[363.0682373046875, 191.23516845703125]]]
[[[261.2754211425781, 244.84353637695312]], [[363.03662109375, 191.2200469970703]]]
[[[261.5605773925781, 244.32550048828125]], [[363.97015380859375, 189.18954467773438]]]
[[[260.11700439453125, 241.29197692871094]], [[363.8500061035156, 189.1613006591797]]]
[[[260.1246337890625, 241.3081817626953]], [[363.84521484375, 189.1569061279297]]]
[[[260.203857421875, 239.11773681640625]], [[364.0148620605469, 191.60093688964844]]]
[[[260.2394714355469, 239.32046508789062]], [[363.2313537597656, 191.33961486816406]]]
[[[260.2720031738281, 239.3670654296875]], [[363.248779296875, 191.34786987304688]]]
[[[260.93499755859375, 239.7928009033203]], [[363.061279296875, 192.73068237304688]]]
[[[262.30792236328125, 241.97767639160156]], [[361.6764831542969, 196.2397003173828]]]
[[[262.3056945800781, 241.97061157226562]], [[361.66217041015625, 196.22354125976562]]]
[[[262.84344482421875, 244.93841552734375]], [[362.66595458984375, 192.9906463623047]]]
[[[262.868408203125, 244.9817352294922]], [[362.4106750488281, 195.732421875]]]
[[[262.8573303222656, 244.975830078125]], [[362.4091491699219, 195.73208618164062]]]
[[[262.7513122558594, 245.328369140625]], [[362.35369873046875, 195.85829162597656]]]
[[[262.3797912597656, 245.35498046875]], [[362.62103271484375, 195.0748291015625]]]
[[[262.37786865234375, 245.37010192871094]], [[362.6227111816406, 195.07586669921875]]]
[[[262.7506103515625, 243.00259399414062]], [[362.1059875488281, 198.27224731445312]]]
[[[263.1806945800781, 244.1940460205078]], [[361.8089599609375, 195.1363525390625]]]
