[[[277.0, 211.0]], [[409.0, 190.0]]]
[[[276.99884033203125, 210.99916076660156]], [[409.0, 190.0]]]
[[[280.8314208984375, 207.228515625]], [[408.5964050292969, 190.81045532226562]]]
[[[283.5926818847656, 205.51193237304688]], [[408.684326171875, 191.47923278808594]]]
[[[283.5937194824219, 205.5125732421875]], [[408.68536376953125, 191.47979736328125]]]
[[[282.408447265625, 210.66612243652344]], [[407.8298034667969, 193.0465545654297]]]
[[[282.4336242675781, 208.10601806640625]], [[408.2628479003906, 192.13943481445312]]]
[[[282.4300537109375, 208.1044464111328]], [[408.2449035644531, 192.13343811035156]]]
[[[283.3180236816406, 206.34170532226562]], [[409.4533996582031, 191.85128784179688]]]
[[[281.7503356933594, 209.35154724121094]], [[406.9957580566406, 192.94332885742188]]]
[[[281.7496643066406, 209.3507843017578]], [[407.00189208984375, 192.94761657714844]]]
[[[280.63671875, 207.1083984375]], [[407.48150634765625, 192.83389282226562]]]
[[[281.3473205566406, 205.41664123535156]], [[407.8692932128906, 193.12112426757812]]]
[[[281.345947265625, 205.4196014404297]], [[407.87255859375, 193.13284301757812]]]
[[[279.7934875488281, 207.7772674560547]], [[407.5408935546875, 193.86477661132812]]]
[[[279.9307556152344, 208.92041015625]], [[406.87811279296875, 194.34573364257812]]]
[[[279.93218994140625, 208.9200897216797]], [[406.8659973144531, 194.33082580566406]]]
[[[278.5201110839844, 208.53167724609375]], [[407.6852722167969, 194.2904052734375]]]
[[[278.0451354980469, 205.58815002441406]], [[406.9251403808594, 194.7301788330078]]]
[[[278.0466003417969, 205.58737182617188]], [[406.8771667480469, 194.73265075683594]]]
[[[277.2536315917969, 206.5126495361328]], [[406.9063415527344, 195.88131713867188]]]
[[[277.36962890625, 207.4766845703125]], [[406.9232482910156, 195.71859741210938]]]
[[[277.3783874511719, 207.46746826171875]], [[406.9996032714844, 195.740234375]]]
[[[277.47393798828125, 206.0478515625]], [[407.6844787597656, 195.2899169921875]]]
[[[278.16314697265625, 203.99708557128906]], [[406.92071533203125, 195.46070861816406]]]
[[[278.1512756347656, 203.987548828125]], [[406.9194030761719, 195.46104431152344]]]
[[[280.20306396484375, 203.05482482910156]], [[407.8057861328125, 195.07467651367188]]]
[[[279.26043701171875, 203.8748779296875]], [[407.9542236328125, 194.71942138671875]]]
[[[279.2485656738281, 203.86976623535156]], [[407.90948486328125, 194.79080200195312]]]
[[[279.2477722167969, 200.17080688476562]], [[407.9458923339844, 194.71490478515625]]]
[[[280.1706237792969, 201.79139709472656]], [[408.3450012207031, 195.43772888183594]]]
[[[280.18316650390625, 201.80474853515625]], [[408.4129943847656, 195.4673309326172]]]
[[[278.8369140625, 204.2516326904297]], [[409.6999816894531, 194.99900817871094]]]
[[[278.8198547363281, 204.48216247558594]], [[409.4600524902344, 194.58990478515625]]]
[[[278.821044921875, 204.4833526611328]], [[409.7022705078125, 194.68663024902344]]]
[[[277.4056701660156, 201.0150909423828]], [[408.6103210449219, 196.19842529296875]]]
[[[279.01568603515625, 199.66807556152344]], [[410.3618469238281, 194.96990966796875]]]
[[[279.0086364746094, 199.66444396972656]], [[410.36517333984375, 194.96681213378906]]]
