[[[189.0, 183.0]], [[253.0, 112.0]]]
[[[187.74661254882812, 182.0146026611328]], [[253.00921630859375, 113.13925170898438]]]
[[[187.70388793945312, 181.97976684570312]], [[253.00096130371094, 113.09709167480469]]]
[[[186.21292114257812, 180.9644317626953]], [[253.07237243652344, 114.11984252929688]]]
[[[185.2231903076172, 180.1776580810547]], [[253.075439453125, 114.60795593261719]]]
[[[185.22767639160156, 180.1221923828125]], [[253.04307556152344, 114.55712127685547]]]
[[[181.74681091308594, 179.02987670898438]], [[252.95204162597656, 116.48513793945312]]]
[[[180.04444885253906, 178.81419372558594]], [[253.21974182128906, 117.22562408447266]]]
[[[180.05181884765625, 178.78416442871094]], [[253.2338104248047, 117.25472259521484]]]
[[[178.21888732910156, 178.31898498535156]], [[253.0708770751953, 120.53028106689453]]]
[[[176.4313507080078, 176.7824249267578]], [[253.2852325439453, 122.90924835205078]]]
[[[176.41624450683594, 176.8019256591797]], [[253.318359375, 122.93924713134766]]]
[[[175.56985473632812, 176.6466064453125]], [[252.76788330078125, 124.16413879394531]]]
[[[175.72390747070312, 177.29322814941406]], [[251.5556182861328, 126.39851379394531]]]
[[[175.6943359375, 177.2814178466797]], [[251.57754516601562, 126.44136810302734]]]
[[[176.05970764160156, 176.86672973632812]], [[246.03504943847656, 133.33218383789062]]]
[[[176.93064880371094, 178.23353576660156]], [[245.59213256835938, 134.51492309570312]]]
[[[176.94613647460938, 178.2292938232422]], [[245.64573669433594, 134.525146484375]]]
[[[176.81268310546875, 178.5946807861328]], [[248.43919372558594, 137.06163024902344]]]
[[[175.80621337890625, 179.1614532470703]], [[250.58949279785156, 138.38218688964844]]]
[[[175.82186889648438, 179.16111755371094]], [[250.58328247070312, 138.3558807373047]]]
[[[175.313232421875, 178.57009887695312]], [[254.50570678710938, 140.52102661132812]]]
[[[175.31427001953125, 178.02496337890625]], [[254.8354949951172, 141.20103454589844]]]
[[[175.2827606201172, 177.99034118652344]], [[254.8371124267578, 141.20535278320312]]]
[[[176.31959533691406, 178.41273498535156]], [[254.68685913085938, 140.6584014892578]]]
[[[176.82791137695312, 178.6630401611328]], [[256.37451171875, 139.75167846679688]]]
[[[176.8205108642578, 178.65667724609375]], [[256.41357421875, 139.7735137939453]]]
[[[176.9989471435547, 178.55149841308594]], [[257.44647216796875, 138.73130798339844]]]
[[[177.3355255126953, 178.32315063476562]], [[257.53094482421875, 138.70303344726562]]]
[[[177.33248901367188, 178.3350372314453]], [[257.53173828125, 138.70372009277344]]]
[[[177.60345458984375, 178.3803253173828]], [[260.10992431640625, 139.26852416992188]]]
[[[177.60804748535156, 178.10189819335938]], [[260.0440673828125, 140.76731872558594]]]
[[[177.51649475097656, 178.11001586914062]], [[260.0309753417969, 140.75473022460938]]]
[[[177.15676879882812, 178.15431213378906]], [[259.80902099609375, 140.1890106201172]]]
[[[176.88311767578125, 178.57232666015625]], [[259.36614990234375, 139.69638061523438]]]
[[[176.93283081054688, 178.5569610595703]], [[259.3682861328125, 139.69683837890625]]]
[[[177.3662567138672, 179.26292419433594]], [[258.3352966308594, 139.35708618164062]]]
[[[176.00054931640625, 180.13560485839844]], [[256.72381591796875, 138.8448486328125]]]
[[[176.02252197265625, 180.14227294921875]], [[256.70556640625, 138.84353637695312]]]
[[[175.098388671875, 179.40606689453125]], [[256.5396423339844, 140.044189453125]]]
[[[173.9337615966797, 178.65960693359375]], [[257.76531982421875, 139.7405548095703]]]
[[[173.9899444580078, 178.63873291015625]], [[257.7852783203125, 139.76010131835938]]]
[[[173.4304656982422, 177.97329711914062]], [[258.5986633300781, 139.35667419433594]]]
[[[173.70693969726562, 178.51602172851562]], [[258.5338134765625, 138.66152954101562]]]
[[[173.6577911376953, 178.527587890625]], [[258.5687255859375, 138.66824340820312]]]
[[[174.1573944091797, 178.38499450683594]], [[258.24481201171875, 138.52243041992188]]]
[[[174.10015869140625, 176.95944213867188]], [[254.97276306152344, 140.94520568847656]]]
[[[174.13226318359375, 176.96034240722656]], [[254.9769287109375, 140.94227600097656]]]
[[[173.84619140625, 176.23834228515625]], [[255.2181854248047, 141.14801025390625]]]
[[[173.05755615234375, 175.41688537597656]], [[255.97256469726562, 140.76121520996094]]]
[[[173.0405731201172, 175.42007446289062]], [[255.9668731689453, 140.76483154296875]]]
[[[172.98829650878906, 175.40843200683594]], [[256.67572021484375, 139.6419677734375]]]
[[[173.591552734375, 175.61309814453125]], [[256.45556640625, 138.92420959472656]]]
[[[173.62643432617188, 175.6133575439453]], [[256.4720764160156, 138.94358825683594]]]
[[[174.34674072265625, 175.39239501953125]], [[257.67889404296875, 137.51626586914062]]]
[[[173.14111328125, 174.6484375]], [[255.40484619140625, 137.81198120117188]]]
[[[173.163330078125, 174.65374755859375]], [[255.4051513671875, 137.8137664794922]]]
[[[172.8330535888672, 174.2311248779297]], [[255.69244384765625, 137.93344116210938]]]
[[[172.09332275390625, 173.91453552246094]], [[257.94537353515625, 137.7437286376953]]]
[[[172.08712768554688, 173.9372100830078]], [[257.9521484375, 137.74012756347656]]]
[[[171.47598266601562, 174.7461700439453]], [[259.8863525390625, 138.90879821777344]]]
[[[171.16116333007812, 175.09808349609375]], [[257.7614440917969, 140.13360595703125]]]
[[[171.1672821044922, 175.09994506835938]], [[257.7742919921875, 140.14300537109375]]]
[[[170.62753295898438, 175.38848876953125]], [[258.088134765625, 139.9628448486328]]]
[[[169.97268676757812, 175.94325256347656]], [[256.53985595703125, 141.23265075683594]]]
[[[169.9775848388672, 175.94488525390625]], [[256.55242919921875, 141.24998474121094]]]
[[[170.3148956298828, 176.62646484375]], [[254.4411163330078, 142.25408935546875]]]
[[[170.22048950195312, 176.6471710205078]], [[253.30592346191406, 142.4228973388672]]]
[[[170.1814422607422, 176.6421661376953]], [[253.3046417236328, 142.41860961914062]]]
[[[169.33578491210938, 175.97959899902344]], [[249.74334716796875, 143.97242736816406]]]
[[[169.58956909179688, 175.94595336914062]], [[246.9549560546875, 145.32012939453125]]]
[[[169.55072021484375, 175.95144653320312]], [[246.9551544189453, 145.32029724121094]]]
[[[170.17391967773438, 176.2159423828125]], [[247.26463317871094, 145.63723754882812]]]
[[[170.21817016601562, 175.94577026367188]], [[246.16954040527344, 146.22235107421875]]]
[[[170.23524475097656, 175.95230102539062]], [[246.1714630126953, 146.23683166503906]]]
[[[170.3681640625, 174.96487426757812]], [[245.95346069335938, 145.37649536132812]]]
[[[170.47557067871094, 175.4219207763672]], [[247.27464294433594, 143.68096923828125]]]
[[[170.4995574951172, 175.43406677246094]], [[247.26283264160156, 143.68380737304688]]]
[[[170.43785095214844, 176.65716552734375]], [[246.97439575195312, 141.92637634277344]]]
[[[170.08963012695312, 176.44400024414062]], [[248.0552520751953, 139.0724639892578]]]
[[[170.00018310546875, 176.42849731445312]], [[248.04661560058594, 139.06517028808594]]]
[[[170.19947814941406, 176.57742309570312]], [[248.04843139648438, 138.12603759765625]]]
[[[170.5631103515625, 177.2425994873047]], [[246.98785400390625, 136.92967224121094]]]
[[[170.59552001953125, 177.23643493652344]], [[247.00848388671875, 136.94064331054688]]]
[[[170.61399841308594, 177.73817443847656]], [[248.0972900390625, 135.59169006347656]]]
[[[170.42872619628906, 178.14585876464844]], [[250.11196899414062, 134.4656982421875]]]
[[[170.35171508789062, 178.14675903320312]], [[250.1029052734375, 134.4835205078125]]]
[[[170.01211547851562, 178.60720825195312]], [[253.1388397216797, 132.25807189941406]]]
[[[170.20863342285156, 180.66209411621094]], [[254.9443817138672, 131.70040893554688]]]
[[[170.24417114257812, 180.65733337402344]], [[254.94216918945312, 131.69708251953125]]]
[[[169.9235076904297, 182.54226684570312]], [[257.3031921386719, 131.29367065429688]]]
[[[170.5802001953125, 186.3378143310547]], [[262.2670593261719, 129.8263702392578]]]
[[[170.59620666503906, 186.32846069335938]], [[262.2581787109375, 129.82012939453125]]]
[[[171.37001037597656, 185.4395751953125]], [[263.0251159667969, 129.37289428710938]]]
[[[171.5362091064453, 185.3591766357422]], [[262.2680969238281, 130.33401489257812]]]
[[[171.5262451171875, 185.36776733398438]], [[262.265380859375, 130.32473754882812]]]
[[[171.85690307617188, 185.25962829589844]], [[262.39080810546875, 130.06857299804688]]]
[[[173.32252502441406, 183.01368713378906]], [[262.60211181640625, 130.03564453125]]]
[[[173.29331970214844, 183.0193634033203]], [[262.60198974609375, 130.0367431640625]]]
[[[177.46890258789062, 180.93626403808594]], [[261.75335693359375, 131.82623291015625]]]
[[[178.74273681640625, 183.62306213378906]], [[261.377685546875, 132.47335815429688]]]
[[[178.7382049560547, 183.6353302001953]], [[261.36187744140625, 132.47030639648438]]]
[[[179.19859313964844, 184.58285522460938]], [[261.93212890625, 134.38369750976562]]]
[[[177.50714111328125, 182.50160217285156]], [[261.95941162109375, 137.8197021484375]]]
[[[177.51100158691406, 182.50152587890625]], [[261.96856689453125, 137.82318115234375]]]
[[[177.44140625, 182.4537353515625]], [[262.24200439453125, 137.8052978515625]]]
[[[177.67396545410156, 183.0392608642578]], [[264.4911804199219, 139.10215759277344]]]
[[[177.66555786132812, 183.04205322265625]], [[264.4834899902344, 139.0786590576172]]]
[[[177.57791137695312, 182.58656311035156]], [[266.4351501464844, 139.927001953125]]]
[[[178.05227661132812, 182.11964416503906]], [[265.9319763183594, 139.7957305908203]]]
[[[178.07632446289062, 182.1240997314453]], [[265.9218444824219, 139.8039093017578]]]
[[[179.30091857910156, 180.8380584716797]], [[265.68096923828125, 139.6214599609375]]]
[[[180.29638671875, 179.89910888671875]], [[266.9739990234375, 138.39068603515625]]]
[[[180.24363708496094, 179.89306640625]], [[266.978759765625, 138.3839569091797]]]
[[[180.65061950683594, 178.83058166503906]], [[268.5416564941406, 136.86448669433594]]]
[[[180.54803466796875, 179.1962890625]], [[269.31817626953125, 134.76187133789062]]]
[[[180.61253356933594, 179.23239135742188]], [[269.3199768066406, 134.7666473388672]]]
[[[180.18592834472656, 179.9620819091797]], [[272.1466369628906, 133.43350219726562]]]
[[[180.0742645263672, 181.4906463623047]], [[272.9496154785156, 129.9310302734375]]]
[[[180.07957458496094, 181.48471069335938]], [[272.96856689453125, 129.92877197265625]]]
[[[180.21446228027344, 181.85836791992188]], [[272.9054870605469, 129.8862762451172]]]
[[[180.20584106445312, 181.47386169433594]], [[274.4989929199219, 129.0828857421875]]]
[[[180.20774841308594, 181.4723358154297]], [[274.48272705078125, 129.0648651123047]]]
[[[182.18649291992188, 179.94174194335938]], [[278.4724426269531, 125.3341293334961]]]
[[[182.62745666503906, 179.48580932617188]], [[277.26239013671875, 126.85499572753906]]]
[[[182.6559295654297, 179.48199462890625]], [[277.28106689453125, 126.87052154541016]]]
[[[183.6628875732422, 180.2559814453125]], [[279.38616943359375, 125.81824493408203]]]
[[[184.63783264160156, 180.49148559570312]], [[283.9665222167969, 123.85030364990234]]]
[[[184.63682556152344, 180.49505615234375]], [[283.9666442871094, 123.85037994384766]]]
[[[183.61764526367188, 180.76133728027344]], [[280.6647644042969, 127.08626556396484]]]
[[[182.84701538085938, 181.35125732421875]], [[276.7409362792969, 129.5450439453125]]]
[[[182.8540802001953, 181.36129760742188]], [[276.73040771484375, 129.5390625]]]
[[[182.46353149414062, 181.94229125976562]], [[272.8697204589844, 131.7567138671875]]]
[[[182.1210479736328, 183.1708526611328]], [[270.8492736816406, 132.73670959472656]]]
[[[182.14892578125, 183.16676330566406]], [[270.81201171875, 132.72012329101562]]]
[[[182.08319091796875, 184.1513214111328]], [[267.4069519042969, 135.92636108398438]]]
[[[181.72323608398438, 184.02816772460938]], [[263.0018310546875, 137.98435974121094]]]
[[[181.73370361328125, 184.03887939453125]], [[263.0026550292969, 137.9853057861328]]]
[[[181.9606170654297, 183.3362274169922]], [[262.7218322753906, 137.2323455810547]]]
[[[182.5592041015625, 183.32589721679688]], [[265.66595458984375, 135.48776245117188]]]
[[[182.5387725830078, 183.32901000976562]], [[265.6259765625, 135.46621704101562]]]
[[[181.93052673339844, 184.2993621826172]], [[263.2926330566406, 134.06256103515625]]]
[[[181.64898681640625, 184.75979614257812]], [[262.43408203125, 132.71743774414062]]]
[[[181.6381072998047, 184.76113891601562]], [[262.45123291015625, 132.7283477783203]]]
[[[181.85882568359375, 184.59231567382812]], [[263.92681884765625, 129.80555725097656]]]
[[[181.23497009277344, 184.37522888183594]], [[258.34967041015625, 126.64876556396484]]]
[[[181.2185821533203, 184.3708953857422]], [[258.3514099121094, 126.64498901367188]]]
[[[181.7350616455078, 184.72470092773438]], [[261.232177734375, 123.71871185302734]]]
[[[181.59873962402344, 184.744873046875]], [[255.85980224609375, 124.15885925292969]]]
[[[181.59524536132812, 184.74623107910156]], [[255.86109924316406, 124.1606216430664]]]
[[[181.25682067871094, 184.3203582763672]], [[253.86541748046875, 124.6862564086914]]]
[[[181.38331604003906, 184.2554931640625]], [[255.8109130859375, 122.06537628173828]]]
[[[181.3997039794922, 184.25119018554688]], [[255.788818359375, 122.05767059326172]]]
[[[181.434326171875, 184.09957885742188]], [[250.85153198242188, 122.36405944824219]]]
[[[181.86471557617188, 183.86622619628906]], [[250.7684783935547, 118.5936279296875]]]
[[[181.86497497558594, 183.86602783203125]], [[250.77032470703125, 118.6120834350586]]]
